[2025-12-15 19:10:08] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: 3ba7bb1c04d5df7bc0630fdee68106ca).
[2025-12-15 19:10:08] [DEBUG   ] discord.client: Dispatching event connect
[2025-12-15 19:10:08] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'public_updates_channel_id': None, 'inventory_settings': None, 'system_channel_id': '1450155613811249307', 'incidents_data': None, 'max_stage_video_channel_users': 50, 'features': [], 'splash': None, 'profile': None, 'members': [{'user': {'username': 'hypixel_players', 'public_flags': 0, 'primary_guild': None, 'id': '1450152550945783933', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '3494', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1450165581306269971'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-12-15T16:40:17.475450+00:00', 'flags': 1, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'joined_at': '2025-12-15T16:40:17.475450+00:00', 'roles': [{'version': 1765814440908, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2248473465835073', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '1450155612922187798', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1765816066168, 'unicode_emoji': None, 'tags': {}, 'position': 1, 'permissions': '0', 'name': 'Gamer', 'mentionable': False, 'managed': False, 'id': '1450162370704965735', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1765816817381, 'unicode_emoji': None, 'tags': {'bot_id': '1450152550945783933'}, 'position': 1, 'permissions': '3941734153714752', 'name': 'hypixel_players', 'mentionable': False, 'managed': True, 'id': '1450165581306269971', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}], 'id': '1450155612922187798', 'emojis': [], 'name': 'discord bot', 'activity_instances': [], 'member_count': 2, 'region': 'deprecated', 'threads': [], 'system_channel_flags': 0, 'guild_scheduled_events': [], 'max_members': 25000000, 'voice_states': [], 'premium_features': None, 'hub_type': None, 'description': None, 'mfa_level': 0, 'stage_instances': [], 'banner': None, 'moderator_reporting': None, 'max_video_channel_users': 25, 'application_command_counts': {}, 'owner_id': '875411891692896298', 'rules_channel_id': None, 'nsfw_level': 0, 'owner_configured_content_level': 0, 'premium_progress_bar_enabled': False, 'large': False, 'lazy': True, 'icon': None, 'premium_tier': 0, 'afk_channel_id': None, 'soundboard_sounds': [], 'preferred_locale': 'en-US', 'nsfw': False, 'explicit_content_filter': 0, 'home_header': None, 'unavailable': False, 'latest_onboarding_question_id': None, 'discovery_splash': None, 'embedded_activities': [], 'application_id': None, 'presences': [], 'premium_subscription_count': 0, 'vanity_url_code': None, 'afk_timeout': 300, 'version': 1765814440965, 'safety_alerts_channel_id': None, 'default_message_notifications': 0, 'channels': [{'version': 1765814440924, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Text channels', 'id': '1450155613811249305', 'flags': 0}, {'version': 1765814440930, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Voice channels', 'id': '1450155613811249306', 'flags': 0}, {'version': 1765814440947, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1450155613811249305', 'name': 'general', 'last_message_id': '1450170282026336386', 'id': '1450155613811249307', 'icon_emoji': {'name': '👋', 'id': None}, 'flags': 0}, {'version': 1765814440957, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1450155613811249306', 'name': 'General', 'last_message_id': None, 'id': '1450155613811249308', 'icon_emoji': {'name': '🎙', 'id': None}, 'flags': 0, 'bitrate': 64000}], 'stickers': [], 'verification_level': 0}}
[2025-12-15 19:10:08] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-12-15 19:10:08] [DEBUG   ] discord.client: Dispatching event guild_available
[2025-12-15 19:10:10] [DEBUG   ] discord.client: Dispatching event ready
[2025-12-15 19:10:10] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 3, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-12-15T17:10:12.572000+00:00', 'pinned': False, 'nonce': '1196775793388868291', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1450165581306269971'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-12-15T16:40:17.475450+00:00', 'flags': 1, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1450173110983725066', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': 'Hello! This message repeats every 10 seconds.', 'components': [], 'channel_type': 0, 'channel_id': '1450155613811249307', 'author': {'username': 'hypixel_players', 'public_flags': 0, 'primary_guild': None, 'id': '1450152550945783933', 'global_name': None, 'display_name_styles': None, 'discriminator': '3494', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'attachments': [], 'guild_id': '1450155612922187798'}}
[2025-12-15 19:10:10] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-12-15 19:10:10] [DEBUG   ] discord.client: Dispatching event message
[2025-12-15 19:10:10] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1450155613811249307/messages with {"content":"Hello! This message repeats every 10 seconds.","components":[],"nonce":"1196775793388868291","enforce_nonce":true,"tts":false} has returned 200
[2025-12-15 19:10:10] [DEBUG   ] discord.http: POST /channels/{channel_id}/messages has found its initial rate limit bucket hash (3df15bae86f6647dd4dfcbd5c6949480).
[2025-12-15 19:10:10] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1450155613811249307/messages has received {'type': 0, 'content': 'Hello! This message repeats every 10 seconds.', 'mentions': [], 'mention_roles': [], 'attachments': [], 'embeds': [], 'timestamp': '2025-12-15T17:10:12.572000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1450173110983725066', 'channel_id': '1450155613811249307', 'author': {'id': '1450152550945783933', 'username': 'hypixel_players', 'avatar': None, 'discriminator': '3494', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False, 'nonce': '1196775793388868291'}
[2025-12-15 19:10:20] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 4, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-12-15T17:10:22.669000+00:00', 'pinned': False, 'nonce': '6371085217258030428', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1450165581306269971'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-12-15T16:40:17.475450+00:00', 'flags': 1, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1450173153333739722', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': 'Hello! This message repeats every 10 seconds.', 'components': [], 'channel_type': 0, 'channel_id': '1450155613811249307', 'author': {'username': 'hypixel_players', 'public_flags': 0, 'primary_guild': None, 'id': '1450152550945783933', 'global_name': None, 'display_name_styles': None, 'discriminator': '3494', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'attachments': [], 'guild_id': '1450155612922187798'}}
[2025-12-15 19:10:20] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-12-15 19:10:20] [DEBUG   ] discord.client: Dispatching event message
[2025-12-15 19:10:20] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1450155613811249307/messages with {"content":"Hello! This message repeats every 10 seconds.","components":[],"nonce":"6371085217258030428","enforce_nonce":true,"tts":false} has returned 200
[2025-12-15 19:10:20] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1450155613811249307/messages has received {'type': 0, 'content': 'Hello! This message repeats every 10 seconds.', 'mentions': [], 'mention_roles': [], 'attachments': [], 'embeds': [], 'timestamp': '2025-12-15T17:10:22.669000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1450173153333739722', 'channel_id': '1450155613811249307', 'author': {'id': '1450152550945783933', 'username': 'hypixel_players', 'avatar': None, 'discriminator': '3494', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False, 'nonce': '6371085217258030428'}
